id,text,Station ID,Station Name
162,1D,10,البوشرية
160,MALL,10,البوشرية
966,soliprim,10,البوشرية
806,أديب,10,البوشرية
807,ارنست,10,البوشرية
805,بسول,10,البوشرية
173,بهنام,10,البوشرية
165,تيلي سن الفيل,10,البوشرية
154,جميل,10,البوشرية
150,دكوانة,10,البوشرية
156,دياب,10,البوشرية
158,دياب بيس,10,البوشرية
152,راجي,10,البوشرية
1040,رمسيس,10,البوشرية
803,روضة,10,البوشرية
159,ريو,10,البوشرية
157,سبتية,10,البوشرية
151,سلاف,10,البوشرية
155,سلامة,10,البوشرية
149,سليك,10,البوشرية
166,سيميتيان,10,البوشرية
164,شربل,10,البوشرية
172,صناعة,10,البوشرية
161,عرمان,10,البوشرية
804,عون,10,البوشرية
153,عيسى,10,البوشرية
167,فيجا,10,البوشرية
170,فيلاتور1,10,البوشرية
169,فيلاتور2,10,البوشرية
171,كيروز,10,البوشرية
168,مونتي ليبانون,10,البوشرية
163,نبعة,10,البوشرية
1045,نديم,10,البوشرية
1071,BCC,11,الحازمية
189,ابو جودة,11,الحازمية
739,اجا,11,الحازمية
740,الشريف,11,الحازمية
192,اللوجا,11,الحازمية
808,بحوث,11,الحازمية
203,بروفكس,11,الحازمية
204,بير الحدث,11,الحازمية
201,بير سمعان,11,الحازمية
199,جبر,11,الحازمية
195,جسر الباشا,11,الحازمية
187,حازمية,11,الحازمية
188,داشونية,11,الحازمية
200,دكاش,11,الحازمية
193,زحمية,11,الحازمية
194,سيمون,11,الحازمية
198,شيباني,11,الحازمية
185,صوما,11,الحازمية
1091,عياش,11,الحازمية
202,غابي متي,11,الحازمية
737,غاريوس,11,الحازمية
738,غالاكسي,11,الحازمية
1092,قصار,11,الحازمية
196,معوشي,11,الحازمية
197,مفرق,11,الحازمية
190,مكلس1,11,الحازمية
191,مكلس2,11,الحازمية
186,نهرا,11,الحازمية
1093,يوسف,11,الحازمية
207,81,12,الجمهور
211,OK1,12,الجمهور
210,OK2,12,الجمهور
1026,President,12,الجمهور
216,بسوس,12,الجمهور
1025,تابت,12,الجمهور
215,حارة الست,12,الجمهور
823,دفاع,12,الجمهور
1027,رعيدي,12,الجمهور
833,شكري غانم,12,الجمهور
206,عساف - جمهور,12,الجمهور
1024,عقل,12,الجمهور
212,عيتات,12,الجمهور
205,عين الرمانة,12,الجمهور
209,قصيبي,12,الجمهور
214,كحالة,12,الجمهور
213,كرتون,12,الجمهور
208,نوتردام,12,الجمهور
223,Geant,13,الجديدة
229,اتيبلاست,13,الجديدة
222,الماسة,13,الجديدة
224,بياقوت,13,الجديدة
230,جلخ,13,الجديدة
217,خوري,13,الجديدة
231,رومل,13,الجديدة
228,سجن,13,الجديدة
226,سيفبا,13,الجديدة
221,صفير,13,الجديدة
218,عبجي,13,الجديدة
225,محبوب,13,الجديدة
819,مصانع3,13,الجديدة
220,موسى,13,الجديدة
219,مون لاسال,13,الجديدة
227,نهر الموت,13,الجديدة
851,DAVINA,14,بصاليم
855,Primavera,14,بصاليم
783,أبي شاهين,14,بصاليم
854,أليسار3,14,بصاليم
267,ارزة,14,بصاليم
852,الرابية,14,بصاليم
1073,العربانية,14,بصاليم
1074,الغابة,14,بصاليم
1075,برمانا,14,بصاليم
1072,بعبدات,14,بصاليم
781,بيت الشعار,14,بصاليم
853,بيت الككو,14,بصاليم
254,جل الديب 12,14,بصاليم
264,جل الديب 12 بيس,14,بصاليم
252,جل الديب 9,14,بصاليم
968,جورة البلوط,14,بصاليم
261,جيرار,14,بصاليم
