Hour,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,0.05,0.05,0.47,0.05,0.36,0.45,0.64
1,0.0,0.0,0.06,0.01,0.01,0.07,0.8
2,0.0,0.0,0.0,0.0,0.0,0.01,0.28
3,0.0,0.0,0.0,0.0,0.0,0.0,0.01
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.01,0.43,0.0,0.0,0.06,0.01,0.01
7,0.49,0.13,0.03,0.01,0.59,0.01,0.04
8,0.13,0.01,0.0,0.43,0.67,0.02,0.02
9,0.03,0.01,0.01,0.14,0.3,0.48,0.04
10,0.01,0.02,0.41,0.03,0.02,0.79,0.11
11,0.03,0.01,0.11,0.0,0.05,0.2,0.6
12,0.39,0.44,0.09,0.0,0.06,0.04,0.13
13,0.15,0.15,0.67,0.01,0.01,0.03,0.05
14,0.43,0.12,0.08,0.01,0.06,0.41,0.04
15,0.11,0.43,0.04,0.44,0.09,0.16,0.01
16,0.08,0.11,0.01,0.1,0.63,0.02,0.03
17,0.0,0.05,0.0,0.0,0.67,0.0,0.0
18,0.0,0.42,0.0,0.0,0.24,0.01,0.01
19,0.0,0.1,0.0,0.0,0.01,0.0,0.0
20,0.0,0.04,0.0,0.0,0.0,0.01,0.0
21,0.0,0.04,0.0,0.0,0.0,0.4,0.11
22,0.0,0.01,0.0,0.0,0.04,0.13,0.61
23,0.0,0.0,0.0,0.0,0.01,0.04,0.72
